"","sp","sample.type","sp.type.combo","mass.g","log.mass","length.mm","width.mm","height.mm","density.gcm3","toughness","log.toughness","specific.toughness","peak.force","log.peak.force","specific.peak.force","fruit.diaspore"
"114","desi","diaspora","desidiaspora",0.4061,-0.391367010509963,11.6,6.8,6.8,1.4459675692702,0.08701479625,-1.06040689240029,-0.669039881890327,245.1662507,2.38946068548931,2.78082769599927,"diaspore"
"115","desp","diaspora","despdiaspora",0.2438,-0.612966298717637,11.2,8.8,4.2,1.12482534571556,0.28021311075,-0.552511548589247,0.0604547501283899,433.9442638,2.63743395191216,3.2504002506298,"diaspore"
"116","dipp","diaspora","dippdiaspora",9.9611,0.998307300025275,38.7,24.2,17,1.19490512911682,2.53836685,0.404554387426707,-0.593752912598568,2564.438982,3.40899236996603,2.41068506994076,"diaspore"
"117","dipp","diaspora","dippdiaspora",11.1674,1.04795207221237,44.4,24.4,16.7,1.17886529432347,2.5970227175,0.41447574864422,-0.633476323568146,2667.408808,3.42608958091399,2.37813750870162,"diaspore"
"118","dipp","diaspora","dippdiaspora",16.2667,1.21129945722985,44.6,27.7,20.9,1.20320581186288,5.65566229,0.75248346904057,-0.458815988189275,5021.004815,3.70079063785053,2.48949118062069,"diaspore"
"119","dipp","diaspora","dippdiaspora",13.9089,1.14329278471381,43.4,25.9,19.1,1.23728942641127,4.07351914,0.609969761244883,-0.533323023468929,3829.496836,3.58314171503807,2.43984893032426,"diaspore"
"120","dipp","diaspora","dippdiaspora",16.1189,1.20733540097836,46.9,26.5,19.8,1.25098721643142,2.8260191975,0.451175107739008,-0.756160293239348,3991.306562,3.60111508610821,2.39377968512985,"diaspore"
"121","elao","fruto","elaofruto",4.5324,0.65632823087515,26.5,17.4,15.5,1.21116353863993,1.4079557125,0.148588994209953,-0.507739236665197,2128.043056,3.32798041065029,2.67165217977514,"fruit"
"122","elao","fruto","elaofruto",4.0811,0.610777236507186,25.2,17.7,14.9,1.17278536716363,1.50705996325,0.17813053246759,-0.432646704039595,2289.852782,3.35980756180702,2.74903032529984,"fruit"
"123","elao","fruto","elaofruto",3.2942,0.517749962854259,23.3,16.4,13.6,1.21063343252194,0.96829261625,-0.013993379862227,-0.531743342716486,1608.290605,3.20636452497514,2.68861456212088,"fruit"
"124","elao","fruto","elaofruto",2.7051,0.432183324394695,21.2,15,13.9,1.16880694056709,0.5420011765,-0.265999770755149,-0.698183095149844,1132.668078,3.05410266095571,2.62191933656102,"fruit"
"125","elao","fruto","elaofruto",3.7384,0.572685768016257,25,15.7,15.3,1.18892936531483,0.7626008565,-0.117702711292856,-0.690388479309113,1426.867579,3.15438367011667,2.58169790210041,"fruit"
"126","elao","fruto","elaofruto",2.7696,0.442417050531319,18.7,16.2,14.4,1.21254904818147,0.57497906025,-0.240347971281621,-0.68276502181294,892.4051526,2.95056206916367,2.50814501863235,"fruit"
"127","elao","fruto","elaofruto",2.7915,0.445837632186448,20.2,16.1,14,1.17093753759923,0.586057889,-0.232059483586768,-0.677897115773216,1152.281378,3.06155854331572,2.61572091112927,"fruit"
"128","elao","fruto","elaofruto",2.6743,0.427210124330789,19.9,15.3,13.5,1.24260537052921,0.5157076075,-0.287596462017947,-0.714806586348735,1225.831254,3.08843069000247,2.66122056567168,"fruit"
"129","entm","diaspora","entmdiaspora",38.6931,1.58763352576572,57.4,57.1,21,1.07366206336791,20.004595735,1.30112977931748,-0.286503746448241,11488.49051,4.06026296983334,2.47262944406762,"diaspore"
"130","entm","diaspora","entmdiaspora",37.3622,1.57243244089129,55.7,54.5,21.6,1.08824923360511,15.19116725,1.18159114520959,-0.390841295681708,9502.643878,3.9778444539077,2.40541201301641,"diaspore"
"131","entm","diaspora","entmdiaspora",29.4343,1.46885371197587,53,50,21.5,0.986667347036372,12.5769221625,1.09957437311347,-0.3692793388624,8742.628501,3.94164202438021,2.47278831240434,"diaspore"
"132","entm","diaspora","entmdiaspora",31.6451,1.50030647240366,58.4,50.8,20.1,1.01352679146281,16.95959572,1.22941549540502,-0.270890976998641,10654.92526,4.02755040766041,2.52724393525675,"diaspore"
"133","entm","diaspora","entmdiaspora",39.5637,1.59729690007485,58.2,56.4,20.8,1.10670750270049,11.0945111775,1.04510817203976,-0.552188728035089,7806.093423,3.89243374459455,2.2951368445197,"diaspore"
"134","entm","diaspora","entmdiaspora",42.7195,1.63062616095609,61.2,55.8,22.8,1.04786918848309,13.1271776475,1.11817136250426,-0.512454798451827,9051.537976,3.95672237785067,2.32609621689458,"diaspore"
"135","entm","diaspora","entmdiaspora",32.3054,1.50927512277031,58.3,55.6,18.4,1.03446387987041,17.1920448475,1.23532753539383,-0.273947587376483,11356.10073,4.05522923611598,2.54595411334567,"diaspore"
"136","entm","diaspora","entmdiaspora",35.2153,1.5467313925094,56,52.8,20.7,1.09885521901155,27.743824875,1.44316633444443,-0.103565058064968,12591.73864,4.10008570068972,2.55335430818032,"diaspore"
"139","ents","diaspora","entsdiaspora",0.0512,-1.29073003902417,7.1,3.8,2.1,1.72587802315049,0.03704747975,-1.43124133067781,-0.140511291653636,186.3263505,2.27027427769551,3.56100431671968,"diaspore"
"140","ents","diaspora","entsdiaspora",0.0541,-1.26680273489343,6.7,3.8,2.2,1.84466523343674,0.13478792625,-0.870349008378164,0.396453726515266,309.8901409,2.49120775945697,3.75801049435041,"diaspore"
"141","ents","diaspora","entsdiaspora",0.065,-1.18708664335714,7.4,4.2,2.3,1.73662435806164,0.182921932,-0.737734220299731,0.449352423057414,322.1484534,2.50805605068638,3.69514269404352,"diaspore"
"142","ents","diaspora","entsdiaspora",0.0538,-1.26921772433361,7,3.7,2.1,1.88914196102459,0.10892003525,-0.962892226780494,0.306325497553117,285.8638483,2.45615923588769,3.7253769602213,"diaspore"
"143","ents","diaspora","entsdiaspora",0.0647,-1.1890957193313,7.6,3.8,2.5,1.71146672876105,0.04105644675,-1.38661863956461,-0.197522920233312,144.1577554,2.1588380115305,3.3479337308618,"diaspore"
"144","ents","diaspora","entsdiaspora",0.0609,-1.21538270736712,7,4.1,2.4,1.68859512792621,0.16709259975,-0.777042783852315,0.43833992351481,334.8970985,2.52491138489162,3.74029409225874,"diaspore"
"145","ents","diaspora","entsdiaspora",0.0559,-1.25258819211358,6.9,3.8,2.1,1.93892586222882,0.044577096,-1.35088822729264,-0.0983000351790608,195.6426681,2.29146357693194,3.54405176904551,"diaspore"
"147","farl","diaspora","farldiaspora",1.047,0.0199466816788423,9.3,12.5,12.2,1.40992258417527,0.02913949475,-1.53551798273725,-1.55546466441609,142.1964254,2.15288867903392,2.13294199735508,"diaspore"
"148","farl","diaspora","farldiaspora",0.6933,-0.159078799801228,8,10.8,10.4,1.47358603159203,0.034976648,-1.45622181363543,-1.2971430138342,127.4864504,2.10546402924674,2.26454282904797,"diaspore"
"149","farl","diaspora","farldiaspora",0.7914,-0.101603954069991,9,11,11,1.38793633016998,0.06832600275,-1.16541398589807,-1.06381003182808,142.1964254,2.15288867903392,2.25449263310391,"diaspore"
"150","farl","diaspora","farldiaspora",0.6741,-0.171275672861209,8.1,10.5,10.3,1.46965082294134,0.02377889675,-1.62380829885534,-1.45253262599413,112.7764753,2.05221851708616,2.22349418994737,"diaspore"
"151","farl","diaspora","farldiaspora",0.8853,-0.0529095357803781,8.6,11.8,11.8,1.4119827013013,0.156484618,-0.805528345951642,-0.752618810171264,225.5529507,2.35324851294269,2.40615804872307,"diaspore"
"152","farl","diaspora","farldiaspora",0.8805,-0.0552706396967043,8.7,11.6,11.5,1.44895752874336,0.03140118625,-1.50305394517207,-1.44778330547537,122.5831254,2.08843069000247,2.14370132969917,"diaspore"
"153","farl","diaspora","farldiaspora",0.4058,-0.391687957302673,6.4,8.9,8.8,1.5461825501155,0.033301353,-1.47753812119347,-1.0858501638908,98.06650029,1.99152067686155,2.38320863416423,"diaspore"
"154","farl","diaspora","farldiaspora",0.3869,-0.412401270278755,7,8.9,8.6,1.37915668704889,0.03529795525,-1.45225045181791,-1.03984918153915,98.06650029,1.99152067686155,2.40392194714031,"diaspore"
"155","farl","diaspora","farldiaspora",0.6423,-0.192262077985899,8.2,10.4,10.4,1.38311652043843,0.0947387105,-1.02347253080234,-0.831210452816438,176.5197005,2.24679318191073,2.43905525989663,"diaspore"
"156","faro","diaspora","farodiaspora",0.3008,-0.521722168080395,5.8,8.4,8,1.47394725622051,0.0330708595,-1.48055451777887,-0.958832349698478,93.16317527,1.96924428212476,2.49096645020516,"diaspore"
"159","guss","diaspora","gussdiaspora",19.7415,1.29538014818029,40,31.4,24,1.25077918353848,1.57460302275,0.197171080817664,-1.09820906736262,652.1422269,2.81434232214568,1.51896217396539,"diaspore"
"160","guss","diaspora","gussdiaspora",13.6904,1.1364161373418,32.4,31.2,21,1.23168206083824,0.28311901675,-0.548030958638381,-1.68444709598018,201.0363256,2.30327453792919,1.16685840058739,"diaspore"
"162","guss","diaspora","gussdiaspora",14.8943,1.17302009712602,32.1,32.2,22.8,1.20705128775495,0.316513562,-0.499607676561077,-1.67262777368709,230.4562757,2.36258853916815,1.18956844204214,"diaspore"
"165","guss","diaspora","gussdiaspora",10.3209,1.01371757015855,27.9,26.7,20.5,1.29077225628243,0.032050936,-1.49415928303442,-2.50787685319297,49.03325014,1.69049068115329,0.676773110994733,"diaspore"
"168","hylp","diaspora","hylpdiaspora",3.4925,0.54313641478622,56.3,19.8,14.2,0.421381886370607,2.23447443525,0.349175390236759,-0.193961024549461,1147.378053,3.05970653845896,2.51657012367274,"diaspore"
"169","hylp","diaspora","hylpdiaspora",1.6509,0.217720767530819,40.7,17.1,11.2,0.404495414750651,1.298997968,0.113608471714231,-0.104112295816588,652.1422269,2.81434232214568,2.59662155461486,"diaspore"
"170","hylp","diaspora","hylpdiaspora",2.98,0.474216264076255,53.6,17.4,13.4,0.455406060037417,1.0059584285,0.00258003375559637,-0.471636230320659,720.7887771,2.85780801592677,2.38359175185051,"diaspore"
"171","hylp","diaspora","hylpdiaspora",2.2359,0.349452375949913,48.4,13.7,8.9,0.723598767059481,0.576974365,-0.238843482141258,-0.588295858091171,382.4593511,2.58258528385285,2.23313290790294,"diaspore"
"172","hylp","diaspora","hylpdiaspora",1.9887,0.298569273737193,44.3,12.9,11.8,0.563242227808306,0.936491634,-0.0284960979725285,-0.327065371709721,637.4322519,2.80443403351463,2.50586475977744,"diaspore"
"173","hylp","diaspora","hylpdiaspora",2.5398,0.404799518857654,53.2,14.5,11,0.571647853204039,1.48607812575,0.172041641652171,-0.232757877205483,1014.988278,3.00646102665385,2.6016615077962,"diaspore"
"174","hylp","diaspora","hylpdiaspora",2.8053,0.447979311716165,55.1,22.4,10.7,0.405692794738745,1.2537422995,0.0982082785948329,-0.349771033121332,1103.248128,3.0426731992056,2.59469388748944,"diaspore"
"175","hylp","diaspora","hylpdiaspora",2.4312,0.385820687071886,66.1,13.7,12.4,0.413502703139761,1.4703675865,0.167425920348246,-0.21839476672364,995.3749779,2.99798671909181,2.61216603201992,"diaspore"
"176","hylp","diaspora","hylpdiaspora",2.3735,0.375389236054379,49.9,19.9,11.1,0.41125767213211,1.0135839615,0.00585972984780336,-0.369529506206575,882.5985026,2.94576318629596,2.57037395024158,"diaspore"
"178","hymc","diaspora","hymcdiaspora",6.7308,0.828066686057142,33.01,20.22,12.63,1.52488831888726,1.1359195725,0.0553475827341761,-0.772719103322965,1770.10033,3.2479978830457,2.41993119698855,"diaspore"
"179","hymc","diaspora","hymcdiaspora",6.5831,0.818430452254214,32.56,19.56,13.81,1.42950245221112,1.343500042,0.128237684345941,-0.690192767908273,2142.753031,3.33097211809979,2.51254166584558,"diaspore"
"180","hymc","diaspora","hymcdiaspora",5.204,0.716337287889549,24.31,20.29,15.43,1.30588740625626,1.3185005945,0.120080329948954,-0.596256957940595,1706.357105,3.23206992513245,2.5157326372429,"diaspore"
"181","hymc","diaspora","hymcdiaspora",6.6513,0.822906536678876,33.31,20.11,13.3,1.42583598155168,0.69596182225,-0.157414583436731,-0.980321120115606,1289.574479,3.11044642975014,2.28753989307126,"diaspore"
"182","hymc","diaspora","hymcdiaspora",5.8722,0.768800838702498,32.55,19.99,12.11,1.42329291086231,0.74244962225,-0.129333009379227,-0.898133848081725,1500.417454,3.17621210755266,2.40741126885017,"diaspore"
"183","hymc","diaspora","hymcdiaspora",5.9508,0.774575354338735,33.89,19.12,14.12,1.24217441120612,2.36967080875,0.374688018637438,-0.399887335701296,2436.952532,3.3868470698941,2.61227171555537,"diaspore"
"184","hymc","diaspora","hymcdiaspora",3.3118,0.520064101808785,26.92,16.37,12.74,1.1266066658922,0.55225595375,-0.257859593397978,-0.777923695206764,593.3023267,2.77327605147413,2.25321194966534,"diaspore"
"185","hymc","fruto","hymcfruto",111.7829,2.04837537239082,143.34,54.72,41.43,0.656974219965201,5.3199119925,0.725904447804867,-1.32247092458595,965.9550278,2.98495690733376,0.936581534942943,"fruit"
"186","hymc","fruto","hymcfruto",106.3506,2.02673994441227,135.21,45.09,37.59,0.886298365308107,1.60367098225,0.205115270899285,-1.82162467351299,956.1483778,2.9805252925476,0.95378534813533,"fruit"
"187","hymc","fruto","hymcfruto",199.7913,2.30057657275755,180,62.73,40.8,0.82826630631318,1.734566247,0.239190891181323,-2.06138568157623,804.1453023,2.90533452920315,0.604757956445597,"fruit"
"188","hymc","fruto","hymcfruto",111.6018,2.04767119929478,142.6,48.08,39.04,0.796303791334181,3.115303925,0.493500422266993,-1.55417077702779,926.7284277,2.96695248535184,0.919281286057059,"fruit"
"189","hymc","fruto","hymcfruto",66.789,1.82470494102824,112.34,47.07,34.93,0.690604040971518,2.09028809275,0.32020614662259,-1.50449879440566,789.4353273,2.89731655721044,1.0726116161822,"fruit"
"190","hymc","fruto","hymcfruto",63.6095,1.80352198183507,108.77,53.44,35.39,0.590564339232451,1.8744848685,0.272881938994178,-1.53064004284089,529.5591015,2.7239144366304,0.920392454795325,"fruit"
"191","hymc","fruto","hymcfruto",142.097,2.15258490905204,165,59.57,38.07,0.725256893819034,1.528428539,0.184245138290451,-1.96833977076159,637.4322519,2.80443403351463,0.651849124462593,"fruit"
"192","hymc","fruto","hymcfruto",136.461,2.13500854950941,161.06,59.18,32.19,0.849427456728621,2.78492517,0.444813530320274,-1.69019501918913,730.5954271,2.86367694957388,0.728668400064478,"fruit"
"193","hymc","fruto","hymcfruto",111.8543,2.04865268427866,152.51,52.4,35.81,0.746483362865645,1.71176055725,0.233443015050401,-1.81520966922826,573.6890267,2.75867654294638,0.710023858667725,"fruit"
"194","hymc","diaspora","hymcdiaspora",6.3583,0.803341015128119,28.45,19.49,15.38,1.42394084431916,1.45244941125,0.16210101486782,-0.641240000260299,2025.073231,3.30644073285644,2.50309971772832,"diaspore"
"195","hymc","diaspora","hymcdiaspora",6.3892,0.80544648298844,25.99,20.74,16.7,1.35555254895561,1.5400268195,0.187528284121811,-0.617918198866629,1843.650205,3.26567852601876,2.46023204303032,"diaspore"
"196","hymc","diaspora","hymcdiaspora",5.5127,0.741364358905962,26.13,20.01,14.13,1.42507288364489,1.8185595325,0.259727522719875,-0.481636836186087,2098.623106,3.32193445016811,2.58057009126215,"diaspore"
"197","hymc","fruto","hymcfruto",135.6125,2.13229972220673,160,56.1,40.2,0.717781404476603,1.839251631,0.264641149835638,-1.8676585723711,907.1151276,2.95766240956109,0.825362687354355,"fruit"
"198","hymc","diaspora","hymcdiaspora",6.8294,0.834382550221013,30.4,20,14.3,1.500183246713,0.931758731,-0.0306965290196759,-0.865079079240689,1843.650205,3.26567852601876,2.43129597579775,"diaspore"
"199","hymc","diaspora","hymcdiaspora",6.3001,0.799347442962076,30.7,18.9,13.8,1.50269054771121,0.980102711,-0.00872840952879353,-0.80807585249087,1936.813381,3.28708777688514,2.48774033392306,"diaspore"
"200","ingo","diaspora","ingodiaspora",0.8666,-0.062181315301644,22.18,8.37,6.09,1.46391469374137,0.31396645625,-0.50311674888126,-0.440935433579616,441.2992513,2.64473319063198,2.70691450593362,"diaspore"
"202","ingo","diaspora","ingodiaspora",0.6611,-0.179732842839035,19.04,8.4,6.18,1.2774203477271,0.333220543,-0.477268232245667,-0.297535389406632,438.8475888,2.64231371651571,2.82204655935475,"diaspore"
"203","ingo","diaspora","ingodiaspora",1.1674,0.0672196889741411,20.9,10.7,7.8,1.27819289805949,0.30703067425,-0.51281823366929,-0.580037922643431,289.2961758,2.4613426927564,2.39412300378226,"diaspore"
"204","ingo","diaspora","ingodiaspora",1.1076,0.0443829470735368,21.6,9.1,7.9,1.36226654123262,0.25824473475,-0.587968524376906,-0.632351471450443,215.7463006,2.33394335760727,2.28956041053373,"diaspore"
"205","inm2","diaspora","inm2diaspora",0.5898,-0.229295231784221,18.7,9.1,4.5,1.47099309217214,0.119892785,-0.921206951421319,-0.691911719637099,230.4562757,2.36258853916815,2.59188377095237,"diaspore"
"206","inm2","diaspora","inm2diaspora",0.4964,-0.304168227173308,19,8.4,4.2,1.41433071519543,0.32492095675,-0.488222276628651,-0.184054049455344,372.6527011,2.57130427347603,2.87547250064934,"diaspore"
"208","inpu","diaspora","inpudiaspora",0.3783,-0.422163658707256,14.6,7.2,4.8,1.43189485758333,0.166775963,-0.777866542959123,-0.355702884251867,225.5529507,2.35324851294269,2.77541217164994,"diaspore"
"213","inpu","diaspora","inpudiaspora",0.4856,-0.313721321932799,14.28,8.72,5.9,1.26236036917792,0.0996738035,-1.00141896897348,-0.687697647040684,181.4230255,2.25869240517719,2.57241372710999,"diaspore"
"214","insa","diaspora","insadiaspora",0.7699,-0.113565680371062,19.4,10.8,5.2,1.34960558955029,0.51606588875,-0.287294846253122,-0.17372916588206,612.9156268,2.78740069419677,2.90096637456783,"diaspore"
"215","insa","diaspora","insadiaspora",0.9384,-0.0276120008925272,19.5,11.1,6,1.3800046070449,0.58401328525,-0.233577273358251,-0.205965272465724,563.8823766,2.7511885214992,2.77880052239172,"diaspore"
"216","insa","diaspora","insadiaspora",0.9394,-0.0271494441527699,18.7,10.4,6.6,1.39776142945782,0.577060638,-0.238778548429872,-0.211629104277102,451.1059013,2.6542785085104,2.68142795266317,"diaspore"
"217","insa","diaspora","insadiaspora",0.9854,-0.00638744206110967,17.7,11.6,7,1.3094370954559,0.45604760225,-0.340989823310304,-0.334602381249194,367.7493761,2.56555194460404,2.57193938666514,"diaspore"
"218","insa","diaspora","insadiaspora",0.6967,-0.156954189465431,15.4,9.7,6.1,1.46024221012478,0.498861898,-0.302019665273615,-0.145065475808184,397.1693262,2.59897570010411,2.75592988956954,"diaspore"
"219","insa","diaspora","insadiaspora",0.7611,-0.118558278058607,16,10.2,6.3,1.41378182991645,0.50451374825,-0.29712699452567,-0.178568716467063,460.9125513,2.66361853473791,2.78217681279652,"diaspore"
"220","insa","diaspora","insadiaspora",0.7143,-0.146119349875458,15.5,11.1,6,1.32152718222076,0.6968753665,-0.156844886867963,-0.0107255369925053,465.8158764,2.6682142865074,2.81433363638286,"diaspore"
"221","insa","diaspora","insadiaspora",0.7888,-0.103033098066845,17.4,10.2,6.2,1.36907477928512,0.190097116,-0.7210244718499,-0.617991373783055,225.5529507,2.35324851294269,2.45628161100953,"diaspore"
"222","insa","diaspora","insadiaspora",0.6532,-0.184953823935369,16.2,10,5.9,1.30521040587101,0.49660301725,-0.303990646096306,-0.119036822160937,426.5892762,2.63000993375358,2.81496375768895,"diaspore"
"223","insa","diaspora","insadiaspora",0.7505,-0.124649303420711,17.2,11.5,5.3,1.36725625034398,0.38952857425,-0.409460678725877,-0.284811375305166,500.1391515,2.69909085297773,2.82374015639844,"diaspore"
"224","insa","diaspora","insadiaspora",0.6717,-0.172824651701307,17,10.3,5.1,1.43654886652771,0.3825657645,-0.417293897230811,-0.244469245529504,475.6225264,2.67726241545788,2.85008706715919,"diaspore"
"225","insa","diaspora","insadiaspora",0.7366,-0.132768285481106,17.1,10.8,5,1.52350267812203,0.5006221685,-0.300489922917861,-0.167721637436755,593.3023267,2.77327605147413,2.90604433695524,"diaspore"
"226","marp","diaspora","mar2diaspora",0.0913,-1.0395292224657,6.7,5,4.6,1.13153897243011,0.01067146475,-1.97177596584422,-0.932246743378524,19.61330006,1.29255067256982,2.33207989503552,"diaspore"
"229","marp","diaspora","mar2diaspora",0.0736,-1.1331221856625,5.6,4.7,4.1,1.30259513065055,0.008281337,-2.08189954185673,-0.948777356194232,14.70997504,1.1676119358139,2.3007341214764,"diaspore"
"230","marp","diaspora","mar2diaspora",0.0558,-1.25336580106242,5.1,4.1,3.8,1.34121359579065,0.00912266025,-2.03987849901517,-0.786512697952747,24.51662507,1.38946068548931,2.64282648655173,"diaspore"
"231","marp","diaspora","mar2diaspora",0.0531,-1.27490547891853,5.8,4.4,3.4,1.16878952768481,0.00597142775,-2.22392181798069,-0.949016339062161,19.61330006,1.29255067256982,2.56745615148835,"diaspore"
"232","marp","diaspora","mar2diaspora",0.0684,-1.16494389827988,5.2,4.4,4.4,1.29762374135636,0.01243022175,-1.90552112365583,-0.74057722537595,29.41995009,1.4686419316255,2.63358582990539,"diaspore"
"233","menl","diaspora","menldiaspora",0.5375,-0.269621531412357,16.8,8,6.9,1.1069588756715,0.0844883615,-1.07320311216806,-0.803581580755698,198.5846631,2.29794570444013,2.56756723585248,"diaspore"
"234","menl","diaspora","menldiaspora",0.4852,-0.314079207805465,16.6,7.7,6.8,1.06614050624759,0.156159354,-0.806431996263037,-0.492352788457572,226.5336157,2.3551326568114,2.66921186461687,"diaspore"
"235","moum","diaspora","moumdiaspora",0.111,-0.954677021213343,5.2,5.8,5.5,1.27799845791177,0.0340680795,-1.46765234797193,-0.512975326758584,49.03325014,1.69049068115329,2.64516770236663,"diaspore"
"236","moum","diaspora","moumdiaspora",0.103,-0.987162775294828,5.4,5.4,5.1,1.32275955284961,0.02439621325,-1.61267757908161,-0.625514803786786,44.12992513,1.64473319063198,2.63189596592681,"diaspore"
"237","moum","diaspora","moumdiaspora",0.1307,-0.883724412419456,5.6,6.1,5.5,1.32860662521465,0.035083527,-1.45489675283051,-0.571172340411051,69.1368827,1.839709793825,2.72343420624446,"diaspore"
"238","moum","diaspora","moumdiaspora",0.1349,-0.869988050328096,5.5,5.8,5.4,1.49564624333659,0.027234744,-1.56487670263465,-0.694888652306553,47.56225264,1.67726241545788,2.54725046578598,"diaspore"
"239","mucm","diaspora","mucmdiaspora",7.814,0.892873406888766,30.4,26.5,17.3,1.07080212384987,2.071111767,0.316203536112968,-0.576669870775797,1103.248128,3.0426731992056,2.14979979231684,"diaspore"
"240","mucm","diaspora","mucmdiaspora",9.3638,0.971452129092936,32.2,27.5,18.7,1.0799989536403,2.2120021735,0.34478554936801,-0.626666579724926,1240.541229,3.09361120248944,2.12215907339651,"diaspore"
